2024-04-14 20:49:04,809 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,830 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,831 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,851 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,852 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,873 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,873 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,894 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,895 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,915 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,916 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,937 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,937 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,958 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,959 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,979 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,980 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:05,001 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:05,002 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:05,022 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:05,023 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:05,044 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:05,044 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:05,065 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
